text,label
"What is the capital of France?",CEQ
"What is the answer?",CEQ
"What is your name?",CEQ
"What is the time?",CEQ
"What color is the sky?",CEQ
"What number comes next?",CEQ
"What is 2 plus 2?",CEQ
"What letter is this?",CEQ
"What shape is it?",CEQ
"What size is it?",CEQ
"What are your thoughts?",OEQ
"What are your ideas?",OEQ
"What are your feelings?",OEQ
"What are your opinions?",OEQ
"What are your reflections?",OEQ
"What are your observations?",OEQ
"What are you thinking?",OEQ
"What are you noticing?",OEQ
"What would you say?",OEQ
"What do you believe?",OEQ
"What is the capital of Spain?",CEQ
"What is the largest planet?",CEQ
"What is the first letter?",CEQ
"What is your age?",CEQ
"What is the password?",CEQ
